223053|3|8716356|N|185636082
223053|5|8698361|Y|185636083
223053|7|8698359|Y|185636084
223053|12|38197957|Y|185636085
223053|13|8698356|N|185636086
223053|15|8698378|N|185636087
223053|17|8698363|Y|185636088
223053|19|8712633|Y|185636089
223053|21|8698352|Y|185636090
223053|1|8698351|N|185636091
223053|2|8714708|Y|185636092
223053|4|8698362|Y|185636093
223053|6|8698360|Y|185636094
223053|8|8698358|N|185636095
223053|11|38197960|N|185636096
223053|14|8698357|Y|185636097
223053|16|8698377|N|185636098
223053|18|8698364|N|185636099
223053|20|8698353|N|185636100
243949|5|8698366|Y|185636101
243949|16|8698371|N|185636102
243949|18|8698373|N|185636103
243949|20|8698375|Y|185636104
243949|22|8698377|Y|185636105
243949|24|8698357|N|185636106
243949|26|38197957|N|185636107
243949|1|8698349|N|185636108
243949|4|8698365|Y|185636109
243949|6|8698367|Y|185636110
243949|10|8698369|Y|185636111
243949|15|8716357|N|185636112
243949|17|8698372|N|185636113
243949|19|8698374|N|185636114
243949|21|8698376|Y|185636115
243949|23|8698378|Y|185636116
243949|25|8698356|Y|185636117
243949|27|38197960|Y|185636118
243949|2|38197962|N|185636119
243949|3|38197961|Y|185636120
243949|7|38197963|N|185636121
243949|8|38197966|N|185636122
243949|9|38197964|Y|185636123
243949|11|38197967|N|185636124
243949|12|38197968|N|185636125
243949|13|38197970|N|185636126
243949|14|38197965|Y|185636127
223053|10|38197958|Y|185636128
223053|9|38197959|N|185636129
243949|28|38197958|N|185636130
243949|29|38197959|Y|185636131
1163233|16|13401891|Y|185636132
1163233|14|13401889|Y|185636133
1163233|1|13401716|N|185636134
1163233|4|13401718|N|185636135
1163233|6|13401850|Y|185636136
1163233|8|13401883|Y|185636137
1163233|10|13401885|Y|185636138
1163233|12|13401887|Y|185636139
1163233|18|13494650|N|185636140
1163233|20|13492993|Y|185636141
1163233|26|13501420|N|185636142
1163233|29|13494639|N|185636143
1163233|31|13494641|N|185636144
1163233|33|13494643|N|185636145
1163233|35|13494645|N|185636146
1163233|37|13494647|N|185636147
1163233|5|13401849|Y|185636148
1163233|7|13401851|N|185636149
1163233|9|13401884|Y|185636150
1163233|11|13401886|N|185636151
1163233|13|13401888|Y|185636152
1163233|15|13401890|Y|185636153
1163233|17|13494651|Y|185636154
1163233|19|13494649|Y|185636155
1163233|21|13492992|N|185636156
1163233|25|13501660|N|185636157
1163233|30|13494640|N|185636158
1163233|32|13494642|N|185636159
1163233|34|13494644|N|185636160
1163233|36|13494646|Y|185636161
1163233|3|25497235|Y|185636162
1163233|2|25497234|N|185636163
