ISO 8859-1,,,,UTF-8,,,,,,,,,,,,,,,,,,
"Character
Number",Character,Hex,,"Unicode
code point",Character,"UTF-8
(hex)",Character Name,Block,,,,,,,,,,,,,,
65,A,0041,,U+0041,A,41,LATIN CAPITAL LETTER A,,,,,,,,,,,,,,,
66,B,0042,,U+0042,B,42,LATIN CAPITAL LETTER B,,,,,,,,,,,,,,,
67,C,0043,,U+0043,C,43,LATIN CAPITAL LETTER C,,,,,,,,,,,,,,,
68,D,0044,,U+0044,D,44,LATIN CAPITAL LETTER D,,,,,,,,,,,,,,,
69,E,0045,,U+0045,E,45,LATIN CAPITAL LETTER E,,,,,,,,,,,,,,,
70,F,0046,,U+0046,F,46,LATIN CAPITAL LETTER F,,,,,,,,,,,,,,,
71,G,0047,,U+0047,G,47,LATIN CAPITAL LETTER G,,,,,,,,,,,,,,,
72,H,0048,,U+0048,H,48,LATIN CAPITAL LETTER H,,,,,,,,,,,,,,,
73,I,0049,,U+0049,I,49,LATIN CAPITAL LETTER I,,,,,,,,,,,,,,,
74,J,004A,,U+004A,J,4a,LATIN CAPITAL LETTER J,,,,,,,,,,,,,,,
75,K,004B,,U+004B,K,4b,LATIN CAPITAL LETTER K,,,,,,,,,,,,,,,
76,L,004C,,U+004C,L,4c,LATIN CAPITAL LETTER L,,,,,,,,,,,,,,,
77,M,004D,,U+004D,M,4d,LATIN CAPITAL LETTER M,,,,,,,,,,,,,,,
78,N,004E,,U+004E,N,4e,LATIN CAPITAL LETTER N,,,,,,,,,,,,,,,
79,O,004F,,U+004F,O,4f,LATIN CAPITAL LETTER O,,,,,,,,,,,,,,,
80,P,0050,,U+0050,P,50,LATIN CAPITAL LETTER P,,,,,,,,,,,,,,,
81,Q,0051,,U+0051,Q,51,LATIN CAPITAL LETTER Q,,,,,,,,,,,,,,,
82,R,0052,,U+0052,R,52,LATIN CAPITAL LETTER R,,,,,,,,,,,,,,,
83,S,0053,,U+0053,S,53,LATIN CAPITAL LETTER S,,,,,,,,,,,,,,,
84,T,0054,,U+0054,T,54,LATIN CAPITAL LETTER T,,,,,,,,,,,,,,,
